OBJECTID,ZIP,NAME,ZIPTYPE,STATE,STATEFIPS,COUNTYFIPS,COUNTYNAME,S3DZIP,LAT,LON,EMPTYCOL,TOTRESCNT,MFDU,SFDU,BOXCNT,BIZCNT,RELVER,COLOR,GlobalID,SHAPESTArea,SHAPESTLength
154,15006,BAIRDFORD,PO BOX,PA,42,42003,ALLEGHENY,150,40.63632608,-79.9466552, ,,,,,,1.9.3,12,{E34895F1-D822-4D51-ADD7-5A6EFD3CA15D},3706481.42407227,16964.4999485231
183,15051,INDIANOLA,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.57959175,-79.86609649, ,243,0,201,42,45,1.9.3,10,{1A3867AA-9625-453F-83EA-73EBDFCB5927},12060159.0457153,18828.5182263709
216,15223,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.50611141,-79.95117001, ,3532,232,3272,28,283,1.9.3,12,{BF739C67-EFAE-4BAA-8CC3-BFC29FAEAE55},57907627.5751343,57572.6827419749
237,15227,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.381338,-79.969707, ,13011,1522,11412,77,622,1.9.3,16,{E0E4D041-A766-4D78-8127-DFFBD17309A8},167876282.381104,127539.2683407
243,15229,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.517189,-80.030806, ,6411,665,5672,74,312,1.9.3,5,{65541C6E-E28D-4150-B563-93F955826F42},116544636.900574,91251.4848810695
255,16229,FREEPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.64174598,-79.72652033, ,,,,,,1.9.3,10,{9854CE82-59CB-4E16-A63F-D64920BD5EA6},2958958.862854,9228.62616137391
256,15282,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.44291632,-79.98815211, ,,,,,,1.9.3,11,{90C0B91D-1527-4729-AFEE-C388E634A907},268656.100097656,2301.32381191186
257,15276,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.551918,-79.939899, ,,,,,,1.9.3,5,{9374F636-799D-4638-94BE-24CF19D4CC1A},3569755.206604,9468.9434971093
258,15083,SUTERSVILLE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.28940773,-79.79123687, ,,,,,,1.9.3,11,{BB0BB666-A223-45A9-8674-A950C0F5983C},7938963.44207764,19272.491630008
268,15088,WEST ELIZABETH,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.25059259,-79.86374335, ,,,,,,1.9.3,10,{3F6DAE87-C96B-403D-B589-CB7F3696195C},8432856.04052734,23978.2382693005
277,15116,GLENSHAW,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.551918,-79.939899, ,6093,86,5931,76,374,1.9.3,5,{993779CB-C9F6-4CDC-AA88-A7C006E9E836},217441574.282593,126302.990057622
287,15237,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.54828572,-80.05271256, ,18376,2952,15125,299,1880,1.9.3,12,{4B1C99A3-857A-4BCB-A79B-9E02F30DF27D},666544579.883728,240389.679905622
296,15122,WEST MIFFLIN,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.36062103,-79.90927201, ,9167,631,8491,45,472,1.9.3,5,{DF2BE71D-F1BC-4056-90F7-C0698B4FDA01},361520617.038025,163467.568734699
298,15204,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.45436768,-80.05936821, ,3645,112,3484,49,139,1.9.3,10,{478BB633-2446-4D0B-AA3F-EFBEF91D5202},55186568.3005981,39471.0581551696
302,15216,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.40180177,-80.03433406, ,11008,1817,9054,137,535,1.9.3,6,{3138C4F5-5CEE-43E0-8933-0F0E7AA1EEBA},95351928.2561951,80277.153029713
307,15102,BETHEL PARK,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.32221149,-80.03642213, ,12769,1668,10948,153,861,1.9.3,6,{2EB816EA-46E9-4C7B-886A-99FA183C4EC3},294828949.508972,97973.7884785724
309,15234,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.36961247,-80.01796048, ,6819,1034,5562,223,722,1.9.3,5,{417599F8-E171-4B7C-9BED-1E224FA43843},93964637.9895325,86983.585235707
313,15120,HOMESTEAD,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.39606444,-79.90626658, ,9303,1035,8024,244,651,1.9.3,6,{333855ED-238E-4219-BF3A-1B03E620B6BE},139153748.094086,60034.8194220884
336,15017,BRIDGEVILLE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.34316582,-80.13009131, ,7437,1216,6065,156,865,1.9.3,6,{C8461EEC-98FC-41AC-BFF6-4877D311C01A},291769883.206238,124095.098771136
345,15205,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.43935,-80.10208, ,10831,1718,8997,116,1222,1.9.3,11,{2EAC90A8-3F81-41A7-8F43-3E791D265145},385064044.888855,236330.421615258
370,15215,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.49616648,-79.91664792, ,5617,544,5014,59,486,1.9.3,7,{B4B258BE-AD4C-428E-B5F6-BF42D3C37FF9},167883075.335022,69602.2986281859
